poem,poet
 \   	,khaghani
احسنت و زه ای نگار زیبا \ آراسته آمدی بر ما,khaghani
امروز به جای تو کسم نیست \ کز تو به خودم نماند پروا,saadi
بگشای کمر پیاله بستان \ آراسته کن تو مجلس ما,saadi
تا کی کمر و کلاه و موزه \ تا کی سفر و نشاط صحرا,sanaee
امروز زمانه خوش گذاریم \ بدرود کنیم دی و فردا,saadi
من طاقت هجر تو ندارم \ با تو چکنم به جز مدارا,saadi
جمالت کرد جانا هست ما را \ جلالت کرد ماها پست ما را,sanaee
دل آرا ما نگارا چون تو هستی \ همه چیزی که باید هست ما را,saadi
شراب عشق روی خرمت کرد \ بسان نرگس تو مست ما را,sanaee
اگر روزی کف پایت ببوسم \ بود بر هر دو عالم دست ما را,khaghani
تمنای لبت شوریده دارد \ چو مشکین زلف تو پیوست ما را,saadi
چو صیاد خرد لعل تو باشد \ سر زلف تو شاید شست ما را,khaghani
زمانه بند شستت کی گشاید \ چو زلفین تو محکم بست ما را,khaghani
بنده یک دل منم بند قبای ترا \ چاکر یکتا منم زلف دو تای ترا,saadi
خاک مرا تا به باد بر ندهد روزگار \ من ننشانم ز جان باد هوای ترا,sanaee
کاش رخ من بدی خاک کف پای تو \ بوسه مگر دادمی من کف پای ترا,saadi
گر بود ای شوخ چشم رای تو بر خون من \ بر سر و دیده نهم رایت رای ترا,sanaee
تیر جفای تو هست دلکش جان دوز من \ جعبه ز سینه کنم تیر جفای ترا,saadi
بار نیامد دلم در شکن زلف تو \ گر نه به گردن کشم بار بلای ترا,khaghani
بنده سنایی ترا بندگی از جان کند \ گوی کلاه ترا بند قبای ترا,sanaee
باز بر عاشق فروش آن سوسن آزاد را \ باز بر خورشید پوش آن جوشن شمشاد را,khaghani
باز چون شاگرد مومن در پس تخته نشان \ آن نکو دیدار شوخ کافر استاد را,sanaee
ناز چون یاقوت گردان خاصگان عشق را \ در میان بحر حیرت لولو فریاد را,saadi
خویشتن بینان ز حسنت لافگاهی ساختند \ هین ببند از غمزه درها کوی عشق آباد را,sanaee
هر چه بیدادست بر ما ریز کاندر کوی داد \ ما به جان پذرفته ایم از زلف تو بیداد را,sanaee
گیرم از راه وفا و بندگی یک سو شویم \ چون کنیم ای جان بگو این عشق مادرزاد را,khaghani
زین توانگر پیشگان چیزی نیفزاید ترا \ کز هوس بردند بر سقف فلک بنیاد را,sanaee
قدر تو درویش داند ز آنکه او بیند مقیم \ همچو کرکس در هوا هفتاد در هفتاد را,khaghani
خوش کن از یک بوسه شیرین تر از آب حیات \ چو دل و جان سنایی طبع فرخ زاد را,khaghani
باز تابی در ده آن زلفین عالم سوز را \ باز آبی بر زن آن روی جهان افروز را,khaghani
باز بر عشاق صوفی طبع صافی جان گمار \ آن دو صف جادوی شوخ دلبر جان دوز را,sanaee
باز بیرون تاز در میدان عقل و عافیت \ آن سیه پوشان کفر انگیز ایمان سوز را,khaghani
سر برآوردند مشتی گوشه گشته چون کمان \ باز در کار آر نوک ناوک کین توز را,sanaee
روزها چون عمر بد خواه تو کوتاهی گرفت \ پاره ای از زلف کم کن مایه ای ده روز را,sanaee
آینه بر گیر و بنگر گر تماشا بایدت \ در میان روی نرگس بوستان افروز را,khaghani
لب ز هم بردار یک دم تا هم اندر تیر ماه \ آسمان در پیشت اندر جل کشد نوروز را,sanaee
نوگرفتان را ببوسی بسته گردان بهر آنک \ دانه دادن شرط باشد مرغ نو آموز را,sanaee
بر شکن دام سنایی ز آن دو تا بادام از آنک \ دام را بادام تو چون سنگ باشد گوز را,khaghani
می ده ای ساقی که می به درد عشق آمیز را \ زنده کن در می پرستی سنت پرویز را,sanaee
مایه ده از بوی باده باد عنبربیز را \ در کف ما رادی آموز ابر گوهر بیز را,sanaee
ای خم اندر خم شکسته زلف جان آمیز را \ بر شکن بر هم چو زلفت توبه و پرهیز را,saadi
چنگ وار آهنگ برکش راه مست انگیز را \ راه مست انگیز بر زن مست بیگه خیز را,khaghani
جاودان خدمت کنند آن چشم سحر آمیز را \ زنگیان سجده برند آن زلف جان آویز را,khaghani
توبه و پرهیز کردم ننگرم زین بیش من \ زلف جان آویز را یا چشم رنگ آمیز را,sanaee
گر لب شیرین آن بت بر لب شیرین بدی \ جان مانی سجده کردی صورت پرویز را,sanaee
با چنان زلف و چنان چشم دلاویز ای عجب \ جای کی ماند درین دل توبه و پرهیز را,saadi
جان ما می را و قالب خاک را و دل ترا \ وین سر طناز پر وسواس تیغ تیز را,sanaee
شربت وصل تو ماند نوبهار تازه را \ ضربت هجر تو ماند ذوالفقار تیز را,sanaee
گر شب وصلت نماید مر شب معراج را \ نیک ماند روز هجرت روز رستاخیز را,saadi
اهل دعوی را مسلم باد جنات النعیم \ رطل می باید دمادم مست بیگه خیز را,sanaee
آتش عشق سنایی تیز کن ای ساقیا \ در دهیدش آب انگور نشاط انگیز را,sanaee
انعم الله صباح ای پسرا \ وقت صبح آمده راح ای پسرا,sanaee
با می و ماه و خرابات بهار \ خام خامست صلاح ای پسرا,sanaee
با تو در صدر نشستیم هلا \ در ده آواز مباح ای پسرا,saadi
خام ما خام تو و پخته تست \ تو ز می دار صراح ای پسرا,sanaee
عاقبت خانه به زلف تو گذاشت \ صورت فخر و فلاح ای پسرا,saadi
چشم بیمار تو ما را ببرید \ ز صحیح و ز صحاح ای پسرا,khaghani
از پی عارض چون صبح ترا \ به نکورویی و راح ای پسرا,khaghani
همه تسبیح سنایی این است \ کانعم الله صباح ای پسرا,saadi
ساقیا می ده که جز می نشکند پرهیز را \ تا زمانی کم کنم این زهد رنگ آمیز را,saadi
ملکت آل بنی آدم ندارد قیمتی \ خاک ره باید شمردن دولت پرویز را,saadi
دین زردشتی و آیین قلندر چند چند \ توشه باید ساختن مر راه جان آویز را,khaghani
هر چه اسبابست آتش در زن و خرم نشین \ بدره ناداشتی به روز رستاخیز را,sanaee
زاهدان و مصلحان مر نزهت فردوس را \ وین گروه لاابالی جان عشق انگیز را,saadi
ساقیا زنجیر مشکین را ز مه بردار زود \ بر رخ زردم نه آن یاقوت شکر ریز را,khaghani
در ده پسرا می مروق را \ یاران موافق موفق را,khaghani
زان می که چو آه عاشقان از تف \ انگشت کند بر آب زورق را,sanaee
زان می که کند ز شعله پر آتش \ این گنبد خانه معلق را,khaghani
هین خیز و ز عکس باده گلگون کن \ این اسب سوار خوار ابلق را,sanaee
در زیر لگد بکوب چون مردان \ این طارم زرق پوش ازرق را,sanaee
گه ساقی باش و گه حریفی کن \ ترتیب فروگذار و رونق را,khaghani
یک دم خوش باش تا چه خواهی کرد \ این زهد مزور مزیق را,khaghani
یک ره به دو باده دست کوته کن \ این عقل دراز قد احمق را,khaghani
بنمای به زیرکان دیوانه \ از مصحف باطل آیت حق را,saadi
بر لاله مزن ز چشم سنبل را \ بر پسته منه ز ناز فندق را,sanaee
بیرون شو ازین دو رنگ و این ساعت \ همرنگ حریر کن ستبرق را,saadi
مشکن به طمع مرا تو ای ممسک \ چونان که جریر مر فرزدق را,sanaee
گر طمع میان تهی سه حرف آمد \ چار است میان تهی مطوق را,sanaee
در تخته اول ار بنوشتی \ بی شکل حروف علم مطلق را,sanaee
کم زان باری که در دوم تخته \ چون نسخ کنی خط محقق را,sanaee
در موضع خوشدلان و مشتاقان \ موضوع فروگذار و مشتق را,sanaee
شعر تر مطلق سنایی خوان \ آتش در زن حدیث مغلق را,sanaee
چند رنجانی نگارا این دل مشتاق را \ یا سلامت خود مسلم نیست مر عشاق را,saadi
هر کرا با عشق خوبان اتفاق آمد پدید \ مشتری گردد همیشه محنت مخراق را,saadi
زآنکه چون سلطان عشق اندر دل ماوا گرفت \ محو گرداند ز مردم عادت و اخلاق را,saadi
هر که بی اوصاف شد از عشق آن بت برخورد \ کان صنم طاقست اندر حسن و خواهد طاق را,sanaee
ذره ای از حسن او در مصر اگر پیدا شدی \ دل ربودی یوسف یعقوب بن اسحاق را,sanaee
گر سر مژگان زند بر هم به عمدا آن نگار \ پیکران بی جان کند مر دیلم و قفچاق را,saadi
هر که روی او بدید از جان و دل درویش شد \ زر سگالی کس ندید آن شهره آفاق را,khaghani
مرد بی حاصل نیابد یار با تحصیل را \ جان ابراهیم باید عشق اسماعیل را,saadi
